title,year,risk_score,risk_level,main_reasons,current_institutions,current_countries,current_institution_authors,raw_affiliation_evidence,review_action,notes
Global Texture Enhancement for Fake Face Detection in the Wild,2020,0,low,No specific local institution risk signal detected,University of Oxford | University of Hong Kong,GB | HK,"University of Oxford: Zhengzhe Liu, Xiaojuan Qi, Philip H. S. Torr | University of Hong Kong: Xiaojuan Qi",Zhengzhe Liu: University of Oxford | Xiaojuan Qi: University of Oxford | Xiaojuan Qi: The University of Hong Kong | Philip H. S. Torr: University of Oxford,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
"GReX-Bench: Benchmarking Generalization, Robustness, and Explainability in AI-Generated Image Detection",2026,0,low,No specific local institution risk signal detected,Korea Aerospace University | University of Michigan–Flint,KR | US,"Korea Aerospace University: Nusrat Tasnim | University of Michigan–Flint: kutub Uddin, Khalid Mahmood Malik",Nusrat Tasnim: Korea Aerospace University | kutub Uddin: University of Michigan–Flint | Khalid Mahmood Malik: University of Michigan–Flint,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Harnessing The Power Of AI To Detect AI Generated Images,2025,0,low,No specific local institution risk signal detected,Institute of Engineering,NP,"Institute of Engineering: Abhishek Pratap Singh, Ritesh Rastogi, M R Naveen Kumar","Abhishek Pratap Singh: Noida Institute of Engineering and Technology, Greater Noida | Ritesh Rastogi: Noida Institute of Engineering and Technology, Greater Noida | M R Naveen Kumar: Noida Institute of Engineering and Technology, Greater Noida",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
How spammers and scammers leverage AI-generated images on Facebook for audience growth,2024,0,low,No specific local institution risk signal detected,Stanford University | Georgetown University | Center for Security and Emerging Technology,US,Stanford University: Renée DiResta | Georgetown University: Josh A. Goldstein | Center for Security and Emerging Technology: Josh A. Goldstein,"Renée DiResta: Stanford Internet Observatory, Stanford University, USA | ) Stanford Internet Observatory, Stanford University, USA, | Josh A. Goldstein: Center for Security and Emerging Technology, Georgetown University, USA | ) Center for Security and Emerging Technology, Georgetown University, USA",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Image Tampering Localization Using a Dense Fully Convolutional Network,2021,0,low,No specific local institution risk signal detected,Shenzhen University | Shenzhen Academy of Robotics,CN,"Shenzhen University: Peiyu Zhuang, Haodong Li, Shunquan Tan, Bin Li, Jiwu Huang | Shenzhen Academy of Robotics: Peiyu Zhuang, Haodong Li, Shunquan Tan, Bin Li, Jiwu Huang","Peiyu Zhuang: Guangdong Key Laboratory of Intelligent Information Processing, Shenzhen University, Shenzhen, China | Shenzhen Key Laboratory of Media Security, Shenzhen University, Shenzhen, China | Peiyu Zhuang: Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China | Haodong Li: Guangdong Key Laboratory of Intelligent Information Processing, Shenzhen University, Shenzhen, China | Shenzhen Key Laboratory of Media Security, Shenzhen University, Shenzhen, China | Haodong Li: Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China | Shunquan Tan: Guangdong Key Laboratory of Intelligent Information Processing, Shenzhen University, Shenzhen, China | Shenzhen Key Laboratory of Media Security, Shenzhen University, Shenzhen, China | Shunquan Tan: Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China | Bin Li: Guangdong Key Laboratory of Intelligent Information Processing, Shenzhen University, Shenzhen, China | Shenzhen Key Laboratory of Media Security, Shenzhen University, Shenzhen, China | Bin Li: Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China | Jiwu Huang: Guangdong Key Laboratory of Intelligent Information Processing, Shenzhen University, Shenzhen, China | Shenzhen Key Laboratory of Media Security, Shenzhen University, Shenzhen, China | Jiwu Huang: Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Improving GAN-Generated Image Detection Generalization Using Unsupervised Domain Adaptation,2022,0,low,No specific local institution risk signal detected,Sichuan University | Aligarh Muslim University,CN | IN,"Sichuan University: Mingxu Zhang, Hongxia Wang, Peisong He, Hanqing Liu | Aligarh Muslim University: Asad Malik","Mingxu Zhang: School of Cyber Science and Engineering, Sichuan University,Chengdu,China | School of Cyber Science and Engineering, Sichuan University, Chengdu, China | Hongxia Wang: School of Cyber Science and Engineering, Sichuan University,Chengdu,China | School of Cyber Science and Engineering, Sichuan University, Chengdu, China | Peisong He: School of Cyber Science and Engineering, Sichuan University,Chengdu,China | School of Cyber Science and Engineering, Sichuan University, Chengdu, China | Asad Malik: Aligarh Muslim University,Department of Computer Science,Aligarh,India | Department of Computer Science, Aligarh Muslim University, Aligarh, India | Hanqing Liu: School of Cyber Science and Engineering, Sichuan University,Chengdu,China | School of Cyber Science and Engineering, Sichuan University, Chengdu, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Incremental learning for the detection and classification of GAN-generated images,2019,0,low,No specific local institution risk signal detected,Federico II University Hospital | University of Trento,IT,"Federico II University Hospital: Marra, Francesco, Luisa Verdoliva, Francesco Marra | University of Trento: Saltori, Cristiano, Boato, Giulia, Cristiano Saltori, Giulia Boato","Marra, Francesco: University Federico II of Naples, Italy | Saltori, Cristiano: University of Trento, Italy | Boato, Giulia: University of Trento, Italy | Luisa Verdoliva: University Federico II of Naples, Italy | Francesco Marra: University Federico II of Naples, Italy | University Federico II of Naples,Italy | Cristiano Saltori: University of Trento, Italy | Giulia Boato: University of Trento, Italy | Luisa Verdoliva: University Federico II of Naples, Italy | University Federico II of Naples,Italy",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
InvisMark: Invisible and Robust Watermarking for AI-generated Image Provenance,2025,0,low,No specific local institution risk signal detected,Microsoft (United States),US,"Microsoft (United States): Rui Xu, Mengya Hu, Deren Lei, Yaxi Li, David Lowe, Alex Gorevski, Mingyu Wang, Emily S. C. Ching, Alex Deng",Rui Xu: Microsoft Responsible AI | Mengya Hu: Microsoft Responsible AI | Deren Lei: Microsoft Responsible AI | Yaxi Li: Microsoft Responsible AI | David Lowe: Microsoft Responsible AI | Alex Gorevski: Microsoft Responsible AI | Mingyu Wang: Microsoft Responsible AI | Emily S. C. Ching: Microsoft Responsible AI | Alex Deng: Microsoft Responsible AI,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
IPD-Net: Detecting AI-Generated Images via Inter-Patch Dependencies,2024,0,low,No specific local institution risk signal detected,Jinan University | Yulin Normal University,CN,"Jinan University: Jiahan Chen, Mengtin Lo, T.S. Huang | Yulin Normal University: Hailiang Liao","Jiahan Chen: College of Cyber Security, Jinan University, Guangzhou, China | Mengtin Lo: College of Cyber Security, Jinan University, Guangzhou, China | Hailiang Liao: School of Physics and Telecommunications Engineering, Yulin Normal University, Yulin, China | T.S. Huang: College of Cyber Security, Jinan University, Guangzhou, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
LaRE<sup>2</sup>: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,0,low,No specific local institution risk signal detected,Tencent (China),CN,"Tencent (China): Yunpeng Luo, Junlong Du, Ke Yan, Shouhong Ding",Yunpeng Luo: Tencent YouTu Lab | Junlong Du: Tencent YouTu Lab | Ke Yan: Tencent YouTu Lab | Shouhong Ding: Tencent YouTu Lab,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection,2023,0,low,No specific local institution risk signal detected,Beijing Jiaotong University | Yanshan University | Signal Processing (United States),CN | US,"Beijing Jiaotong University: Chuangchuang Tan, Yao Zhao, Shikui Wei, Yunchao Wei | Yanshan University: Guanghua Gu | Signal Processing (United States): Guanghua Gu","Chuangchuang Tan: Beijing Jiaotong University,Institute of Information Science | Institute of Information Science, Beijing Jiaotong University | Yao Zhao: Beijing Jiaotong University,Institute of Information Science | Institute of Information Science, Beijing Jiaotong University | Shikui Wei: Beijing Jiaotong University,Institute of Information Science | Institute of Information Science, Beijing Jiaotong University | Guanghua Gu: School of Information Science and Engineering, Yanshan University | Guanghua Gu: Hebei Key Laboratory of Information Transmission and Signal Processing | Yunchao Wei: Beijing Jiaotong University,Institute of Information Science | Institute of Information Science, Beijing Jiaotong University",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Level Up the Deepfake Detection: A Method to Effectively Discriminate Images Generated by GAN Architectures and Diffusion Models,2024,0,low,No specific local institution risk signal detected,University of Catania | Bank of Italy,IT,"University of Catania: Luca Guarnera, Sebastiano Battiato | Bank of Italy: Oliver Giudice","Luca Guarnera: Department of Mathematics and Computer Science, University of Catania, Catania, Italy | Oliver Giudice: Banca D’Italia, Applied Research Team, IT Department, Rome, Italy | Sebastiano Battiato: Department of Mathematics and Computer Science, University of Catania, Catania, Italy",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Local frequency analysis for diffusion-generated image detection,2024,0,low,No specific local institution risk signal detected,Nanjing University of Aeronautics and Astronautics,CN,Nanjing University of Aeronautics and Astronautics: Weng Jing,Weng Jing: Nanjing University of Aeronautics and Astronautics (NUAA) (China),No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
LOTA: Bit-Planes Guided AI-Generated Image Detection,2025,0,low,No specific local institution risk signal detected,Southeast University | Shenzhen University,CN,"Southeast University: H M Wang, Renxi Cheng, Chaolei Han, Jie Gui | Shenzhen University: Yang Zhang","H M Wang: School of Computer Science and Engineering, Southeast University,Nanjing,China,210096 | Renxi Cheng: School of Cyber Science and Engineering, Southeast University,Nanjing,China,210096 | Yang Zhang: School of Computer Science and Software Engineering, Shenzhen University,Shenzhen,China,518060 | Chaolei Han: School of Cyber Science and Engineering, Southeast University,Nanjing,China,210096 | Jie Gui: School of Cyber Science and Engineering, Southeast University,Nanjing,China,210096",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
MaskGAN: A Facial Fusion Algorithm for Deepfake Image Detection,2022,0,low,No specific local institution risk signal detected,Beijing University of Posts and Telecommunications,CN,"Beijing University of Posts and Telecommunications: Dazhuang Liu, Zhen Yang, Ru Zhang, Jianyi Liu","Dazhuang Liu: School of Cyberspace Security, Beijing University of Posts and Telecommunications,Beijing,China | School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China | Zhen Yang: School of Cyberspace Security, Beijing University of Posts and Telecommunications,Beijing,China | School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China | Ru Zhang: School of Cyberspace Security, Beijing University of Posts and Telecommunications,Beijing,China | School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China | Jianyi Liu: School of Cyberspace Security, Beijing University of Posts and Telecommunications,Beijing,China | School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Mastering Deepfake Detection: A Cutting-edge Approach to Distinguish GAN and Diffusion-model Images,2024,0,low,No specific local institution risk signal detected,University of Catania | Bank of Italy,IT,"University of Catania: Luca Guarnera, Sebastiano Battiato | Bank of Italy: Oliver Giudice","Luca Guarnera: Department of Mathematics and Computer Science, University of Catania, Catania, Italy | Oliver Giudice: Banca d'Italia, Roma, Italy | Banca D'Italia, Applied Research Team, IT dept., Rome, Italy | Sebastiano Battiato: Department of Mathematics and Computer Science, University of Catania, Catania, Italy",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Methods and trends in detecting AI-generated images: A comprehensive review,2026,0,low,No specific local institution risk signal detected,Florida International University,US,"Florida International University: Arpan Mahara, Naphtali Rishe","Arpan Mahara: Knight Foundation School of Computing and Information Sciences, Florida International University, Miami, Florida, USA | Naphtali Rishe: Knight Foundation School of Computing and Information Sciences, Florida International University, Miami, Florida, USA",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Microscopy cell counting and detection with fully convolutional regression networks,2016,0,low,No specific local institution risk signal detected,University of Oxford,GB,"University of Oxford: Weidi Xie, J. Alison Noble, Andrew Zisserman","Weidi Xie: Department of Engineering Science, University of Oxford, Oxford, UK | J. Alison Noble: Department of Engineering Science, University of Oxford, Oxford, UK | Andrew Zisserman: Department of Engineering Science, University of Oxford, Oxford, UK",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
MiraGe: Multimodal Discriminative Representation Learning for Generalizable AI-Generated Image Detection,2025,0,low,No specific local institution risk signal detected,University of Technology Sydney,AU,"University of Technology Sydney: Kuo Shi, Jie Lü, Shanshan Ye, Guangquan Zhang, Zhen Fang","Kuo Shi: University of Technology Sydney, Ultimo, NSW, Australia | Jie Lü: University of Technology Sydney, Ultimo, NSW, Australia | Shanshan Ye: University of Technology Sydney, Ultimo, NSW, Australia | Guangquan Zhang: University of Technology Sydney, Ultimo, NSW, Australia | Zhen Fang: University of Technology Sydney, Ultimo, NSW, Australia",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
MSAFNet: multi-scale self-adaptive feature fusion network for AI-generated image detection,2025,0,low,No specific local institution risk signal detected,Shanghai Polytechnic University | Shanghai University | Shanghai University of Engineering Science,CN,"Shanghai Polytechnic University: Liwei Yao, Sen Niu, Kaili Liao, Kefeng Li, Tengbo Zhao | Shanghai University: Guobing Zou | Shanghai University of Engineering Science: Guobing Zou","Liwei Yao: The School of Computer and Information Engineering, Institute for Artificial Intelligence, Shanghai Polytechnic University, Shanghai 201209, People’s Republic of China | Sen Niu: The School of Computer and Information Engineering, Institute for Artificial Intelligence, Shanghai Polytechnic University, Shanghai 201209, People’s Republic of China | Kaili Liao: The School of Computer and Information Engineering, Institute for Artificial Intelligence, Shanghai Polytechnic University, Shanghai 201209, People’s Republic of China | Guobing Zou: The school of Computer Engineering and Science, Shanghai University, Shanghai 200444, People’s Republic of China | Kefeng Li: The School of Computer and Information Engineering, Institute for Artificial Intelligence, Shanghai Polytechnic University, Shanghai 201209, People’s Republic of China | Tengbo Zhao: The School of Computer and Information Engineering, Institute for Artificial Intelligence, Shanghai Polytechnic University, Shanghai 201209, People’s Republic of China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Multi-modal texture fusion network for detecting AI-generated images,2025,0,low,No specific local institution risk signal detected,Nanchang University,CN,"Nanchang University: Haozheng Yu, Bing Xu","Haozheng Yu: School of Public Policy and Administration, Nanchang University, Nanchang, China | Bing Xu: School of Public Policy and Administration, Nanchang University, Nanchang, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Multi-Perspective Frequency Domain Learning for Generalizable AI-Generated Image Detection,2025,0,low,No specific local institution risk signal detected,Guangdong University of Technology | Qilu University of Technology,CN,"Guangdong University of Technology: Zili Xu, Jianjie Luo, Zhenguo Yang | Qilu University of Technology: Fuqiang Yu","Zili Xu: Guangdong University of Technology | Jianjie Luo: Guangdong University of Technology | Fuqiang Yu: Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Qilu University of Technology (Shandong Academy of Sciences) | Zhenguo Yang: Guangdong University of Technology",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Multiclass AI-Generated Deepfake Face Detection Using Patch-Wise Deep Learning Model,2024,0,low,No specific local institution risk signal detected,University of Management and Technology | Islamia University of Bahawalpur | Satya Wacana Christian University | Lund University,PK | ID | SE,"University of Management and Technology: Muhammad Asad Arshed, Muhammad Tanveer, Saeed Ahmad | Islamia University of Bahawalpur: Shahzad Mumtaz, Muhammad Ibrahim | Satya Wacana Christian University: Christine Dewi | Lund University: Saeed Ahmad","Muhammad Asad Arshed: School of Systems and Technology, University of Management and Technology, Lahore 54770, Pakistan | Shahzad Mumtaz: Faculty of Computing, The Islamia University of Bahawalpur, Bahawalpur 63100, Pakistan | Muhammad Ibrahim: Faculty of Computing, The Islamia University of Bahawalpur, Bahawalpur 63100, Pakistan | Christine Dewi: Department of Information Technology, Satya Wacana Christian University, Salatiga 50715, Indonesia | Muhammad Tanveer: School of Systems and Technology, University of Management and Technology, Lahore 54770, Pakistan | Saeed Ahmad: Department of Experimental Medical Science, Biomedical Center (BMC), Lund University, 22184 Lund, Sweden | Saeed Ahmad: School of Systems and Technology, University of Management and Technology, Lahore 54770, Pakistan",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?,2026,0,low,No specific local institution risk signal detected,Information Technologies Institute,GR,"Information Technologies Institute: Despina Konstantinidou, Dimitrios Karageorgiou, Christos Koutlis, Olga Papadopoulou, Emmanouil Schinas, Symeon Papadopoulos","Despina Konstantinidou: Information Technologies Institute - Centre for Research and Technology Hellas, Thessaloniki, n/a, Greece | Dimitrios Karageorgiou: Information Technologies Institute - Centre for Research and Technology Hellas, Thessaloniki, n/a, Greece | Christos Koutlis: Information Technologies Institute - Centre for Research and Technology Hellas, Thessaloniki, n/a, Greece | Olga Papadopoulou: Information Technologies Institute - Centre for Research and Technology Hellas, Thessaloniki, n/a, Greece | Emmanouil Schinas: Information Technologies Institute - Centre for Research and Technology Hellas, Thessaloniki, n/a, Greece | Symeon Papadopoulos: Information Technologies Institute - Centre for Research and Technology Hellas, Thessaloniki, n/a, Greece",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Noise-Informed Diffusion-Generated Image Detection With Anomaly Attention,2025,0,low,No specific local institution risk signal detected,Beijing Academy of Artificial Intelligence | University of Chinese Academy of Sciences | Chinese Academy of Sciences | Institute of Automation | Nanjing University of Information Science and Technology | Communication University of China,CN,"Beijing Academy of Artificial Intelligence: Weinan Guan | University of Chinese Academy of Sciences: Weinan Guan | Chinese Academy of Sciences: Wei Wang, Bo Peng, Jing Dong | Institute of Automation: Wei Wang, Bo Peng, Jing Dong | Nanjing University of Information Science and Technology: Ziwen He | Communication University of China: Haonan Cheng","Weinan Guan: School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China | Wei Wang: New Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences (CASIA), Beijing, China | Institute of Automation, New Laboratory of Pattern Recognition (NLPR), Chinese Academy of Sciences (CASIA), Beijing, China | Bo Peng: New Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences (CASIA), Beijing, China | Institute of Automation, New Laboratory of Pattern Recognition (NLPR), Chinese Academy of Sciences (CASIA), Beijing, China | Ziwen He: Engineering Research Center of Digital Forensics, Ministry of Education, Nanjing University of Information Science and Technology, Nanjing, China | Nanjing University of Information Science and Technology, China | Jing Dong: New Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences (CASIA), Beijing, China | Institute of Automation, New Laboratory of Pattern Recognition (NLPR), Chinese Academy of Sciences (CASIA), Beijing, China | Haonan Cheng: State Key Laboratory of Media Convergence and Communication, Communication University of China, Beijing, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
On the Truth Claims of Deepfakes: Indexing Images and Semantic Forensics,2021,0,low,No specific local institution risk signal detected,,,,,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Online Detection of AI-Generated Images,2023,0,low,No specific local institution risk signal detected,Adobe Systems (United States),US,"Adobe Systems (United States): David C. Epstein, Ishan Jain, Oliver Wang, Richard Zhang",David C. Epstein: Adobe Inc | Ishan Jain: Adobe Inc | Oliver Wang: Adobe Inc | Richard Zhang: Adobe Inc,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Raising the Bar of AI-generated Image Detection with CLIP,2024,0,low,No specific local institution risk signal detected,Federico II University Hospital | Technical University of Munich,IT | DE,"Federico II University Hospital: Davide Cozzolino, Giovanni Poggi, Riccardo Corvi, Luisa Verdoliva | Technical University of Munich: Matthias Nießner",Davide Cozzolino: University Federico II of Naples | Giovanni Poggi: University Federico II of Naples | Riccardo Corvi: University Federico II of Naples | Matthias Nießner: Technical University of Munich | Luisa Verdoliva: University Federico II of Naples,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Reducing the Content Bias for AI-generated Image Detection,2025,0,low,No specific local institution risk signal detected,Korea Advanced Institute of Science and Technology,KR,"Korea Advanced Institute of Science and Technology: Seoyeon Gye, Jaepil Ko, Hyounguk Shon, Minchan Kwon, Junmo Kim","Seoyeon Gye: School of Electrical Engineering, KAIST,South Korea | Jaepil Ko: School of Electrical Engineering, KAIST,South Korea | Hyounguk Shon: School of Electrical Engineering, KAIST,South Korea | Minchan Kwon: School of Electrical Engineering, KAIST,South Korea | Junmo Kim: School of Electrical Engineering, KAIST,South Korea",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Rethinking the Up-Sampling Operations in CNN-Based Generative Network for Generalizable Deepfake Detection,2024,0,low,No specific local institution risk signal detected,"Beijing Jiaotong University | Yanshan University | University of Nevada, Reno",CN | US,"Beijing Jiaotong University: Chuangchuang Tan, Huan Liu, Yao Zhao, Shikui Wei, Yunchao Wei | Yanshan University: Guanghua Gu | University of Nevada, Reno: Ping Liu","Chuangchuang Tan: Institute of Information Science, Beijing Jiaotong University | Huan Liu: Institute of Information Science, Beijing Jiaotong University | Yao Zhao: Institute of Information Science, Beijing Jiaotong University | Shikui Wei: Institute of Information Science, Beijing Jiaotong University | Guanghua Gu: School of Information Science and Engineering, Yanshan University | Ping Liu: University of Nevada,CSE department,Reno,USA | Yunchao Wei: Institute of Information Science, Beijing Jiaotong University",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
[Retracted] Comparative Analysis of Deepfake Image Detection Method Using Convolutional Neural Network,2021,0,low,No specific local institution risk signal detected,North South University | Manipal University Jaipur | Taif University,BD | IN | SA,"North South University: Hasin Shahed Shad, Md Mashfiq Rizvee, Nishat Tasnim Roza, S. M. Ahsanul Hoq, Mohammad Monirujjaman Khan | Manipal University Jaipur: Arjun Singh | Taif University: Atef Zaguia, Sami Bourouis","Hasin Shahed Shad: Department of Electrical and Computer Engineering, North South University, Dhaka 1229, Bangladesh | Department of Electrical and Computer Engineering, North South University, Dhaka 1229 | Md Mashfiq Rizvee: Department of Electrical and Computer Engineering, North South University, Dhaka 1229, Bangladesh | Department of Electrical and Computer Engineering, North South University, Dhaka 1229 | Nishat Tasnim Roza: Department of Electrical and Computer Engineering, North South University, Dhaka 1229, Bangladesh | Department of Electrical and Computer Engineering, North South University, Dhaka 1229 | S. M. Ahsanul Hoq: Department of Electrical and Computer Engineering, North South University, Dhaka 1229, Bangladesh | Department of Electrical and Computer Engineering, North South University, Dhaka 1229 | Mohammad Monirujjaman Khan: Department of Electrical and Computer Engineering, North South University, Dhaka 1229, Bangladesh | Department of Electrical and Computer Engineering, North South University, Dhaka 1229 | Arjun Singh: School of Computing and IT, Manipal University Jaipur, Jaipur, Rajasthan, India | School of Computing and IT, Manipal University Jaipur, Jaipur, Rajasthan | Atef Zaguia: Department of Computer Science, College of Computers and Information Technology, Taif University, Taif 21944, Saudi Arabia | Department of Computer Science, College of Computers and Information Technology, Taif University, Taif 21944 | Sami Bourouis: Department of Information Technology, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif 21944, Saudi Arabia | Department of Information Technology, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif 21944",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
SemGIR: Semantic-Guided Image Regeneration Based Method for AI-generated Image Detection and Attribution,2024,0,low,No specific local institution risk signal detected,University of Science and Technology of China | National University of Singapore,CN | SG,"University of Science and Technology of China: Xiao Yu, Kejiang Chen, Kai Zeng, Zijin Yang, Xiuwei Shang, Yuang Qi, Weiming Zhang, Nenghai Yu | National University of Singapore: Han Fang","Xiao Yu: University of Science and Technology of China, Hefei, Anhui, China | Kejiang Chen: University of Science and Technology of China, Hefei, Anhui, China | Kai Zeng: University of Science and Technology of China, Hefei, Anhui, China | Han Fang: National University of Singapore, Singapore, Singapore | Zijin Yang: University of Science and Technology of China, Hefei, Anhui, China | Xiuwei Shang: University of Science and Technology of China, Hefei, Anhui, China | Yuang Qi: University of Science and Technology of China, Hefei, Anhui, China | Weiming Zhang: University of Science and Technology of China, Hefei, Anhui, China | Nenghai Yu: University of Science and Technology of China, Hefei, Anhui, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
"SIDA: Social Media Image Deepfake Detection, Localization and Explanation with Large Multimodal Model",2025,0,low,No specific local institution risk signal detected,"University of Liverpool | Nanyang Technological University | University of Warwick | Chinese University of Hong Kong, Shenzhen",GB | SG | CN,"University of Liverpool: Zhenglin Huang, Jinwei Hu, Yiwei He, Bei Peng, Xiaowei Huang, Guangliang Cheng | Nanyang Technological University: Xiangtai Li | University of Warwick: Xingyu Zhao | Chinese University of Hong Kong, Shenzhen: Baoyuan Wu","Zhenglin Huang: University of Liverpool,UK | Jinwei Hu: University of Liverpool,UK | Xiangtai Li: Nanyang Technological University,SG | Yiwei He: University of Liverpool,UK | Xingyu Zhao: University of Warwick,WMG | Bei Peng: University of Liverpool,UK | Baoyuan Wu: The Chinese University of Hong Kong,Shenzhen,China | Xiaowei Huang: University of Liverpool,UK | Guangliang Cheng: University of Liverpool,UK",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
SIDBench: A Python framework for reliably assessing synthetic image detection methods,2024,0,low,No specific local institution risk signal detected,Information Technologies Institute,GR,"Information Technologies Institute: Manos Schinas, Symeon Papadopoulos","Manos Schinas: Information Technologies Institute - Centre of Research and Technology - Hellas, Greece | Symeon Papadopoulos: Information Technologies Institute - Centre of Research and Technology - Hellas, Greece",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Source Attribution for Images Generated by Diffusion-Based Text-to-Image Models: Exploring the Forensics Approach,2024,0,low,No specific local institution risk signal detected,Macau University of Science and Technology,MO,"Macau University of Science and Technology: Xinqi Jiang, Jinyu Tian","Xinqi Jiang: Macau University of Science and Technology,Macau | Jinyu Tian: Macau University of Science and Technology,Macau",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Synthbuster: Towards Detection of Diffusion Model Generated Images,2023,0,low,No specific local institution risk signal detected,Centre National de la Recherche Scientifique | Université Paris-Saclay,FR,Centre National de la Recherche Scientifique: Quentin Bammey | Université Paris-Saclay: Quentin Bammey,"Quentin Bammey: Universit&#x00E9; Paris-Saclay, ENS Paris-Saclay, CNRS, Centre Borelli, Gif-sur-Yvette, France",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
